Model;Maker;Intro year;Screen size (inch);Screen type;Weight;Screen shades;Hours reading;Operating system;Touch screen;Wireless network;Text-to-speech;Integrated dictionary;Directory organization;Internal storage;Card reader slot;Replaceable battery;Web browser;USB peripherals;Library compatible;Screen pixels
Libre Touch eBook Reader;Aluratek;2011;7;LCD;199 g;;8;Android 1.5;Yes;Wi-Fi;No;No;;4 GB;microSD;No;Yes;No;Yes;480 x 800
Libre Air eBook Reader;Aluratek;2011;5;LCD;170 g;16 grey scale;20;Linux+Xwindows;No;Wi-Fi;No;No;;512 MB;microSD;No;No;No;Yes;480 ? 640
Libre Color eBook Reader;Aluratek;2010;7;LCD;245 g;;24;MicroC/OS-II;No;No;No;No;;2 GB;SD;No;No;No;Yes;480 x 800
Libre Pro eBook Reader;Aluratek;2009;5;LCD;190 g;16 grey scale;24;Linux+Xwindows;No;No;No;No;;256 MB;SD;No;No;No;Yes;480 x 640
Kindle Fire;Amazon.com;2011;7;LCD(IPS);413 g;24-bit color;8;Android 2.3;Yes;Wi-Fi;No;Yes;;8 GB;No;No;Yes;No;US only;1024 x 600
iPad 2;Apple Inc.;2011;9.7;LCD(IPS);613 g;24-bit color;10;iOS;Yes;Wi-Fi, 3G;Yes;iBooks & system-wide dictionary with iOS 5;Yes;16-64 GB;SD via camera connection kit;No;Yes;Yes;;1024 x 768
iPad;Apple Inc.;2010;9.7;LCD;601 g;24-bit color;9;iOS;Yes;Wi-Fi;Yes;iBooks & system-wide dictionary with iOS 5;Yes;16-64 GB;SD via camera connection kit;No;Yes;Yes;;1024 x 768
Nook Color;Barnes & Noble;2010;7;LCD;450 g;16M;8;Android 2.2;Yes;Wi-Fi 802.11b/g/n;for B&N Kids Books;Yes;Yes;2 GB, 1 GB;microSDHC;No;Yes;;Yes;1024 ? 600
jetBook;Ectaco;2008;5;LCD;212 g;16;20;Linux;No;No;No;Yes;Yes;112 MB;SDHC;No;No;No;Yes;480 x 640
705EB;Elonex;2010;7;LED;190 g;256;8;;No;No;;No;;4 GB;microSDHC;;No;No;;480 ? 800
Adam;Notion Ink;2011;10.1;Pixel Qi;725 g;;15;Android;Yes;Wi-Fi, 3G;Yes;;;1GB DDR2 RAM;microSD;Yes;Yes;;;1024 ? 600
PocketBook IQ 701;PocketBook;2010;7;LCD;516 g;262K color;8;Android 2.0;Yes;Wi-Fi;Yes;Yes;Yes;2 GB;SDHC;Yes;Yes;No;Yes;600 ? 800
eBook Reader 3.0;TrekStor;2011;7;LCD;275 g;;8;MicroC/OS-II;No;No;No;No;Yes;2 GB;microSDHC;No;No;No;Yes;800 ? 480
eReader HD;Zzbook;2010;7;TFT-LCD;300 g;16;8;Linux;No;No;;;;2 GB;microSD;;;;;800 ? 480
