Identifior,HTMLTags,Mathformulas,Tables,CREOLEsupport,MarkdownSupport,TextileSupport,BBCodeSupport,EmoticonImages,SyntaxHighlighting,Footnotes,Quoting,InternalComments,Customstyles,FAQTags,Scripting,ContentIncludes,FeedAggregation
Groupswiki,N_A,N_A,N_A,N_A,XHTML1_0Strict,Yes,N_A,N_A,Yes,N_A,N_A,N_A,N_A,Yes,Yes,N_A,Yes
Sputnik,No,No,Yes,Yes,Yes,No,LuaJavaScript,No,No,No,Yes,No,X3,No,No,No,Yes
Socialtext,Yes,Yes,Yes,Yes,Yes,Yes,X2,HTML4,Yes,PrintView,N_A,Yes,Yes,Yes,Yes,Yes,Yes
TracWiki,X3,Yes,X3,Yes,Yes,Yes,No,YesusingPython,X3,No,No,No,No,Yes,No,No,No
OpenWikiNG,Yes,No,Yes,Yes,Yes,Yes,No,Internalmacros,Yes,Yes,No,Yes,Yes,X3,No,No,No
Hatta,Yes,X2,No,No,No,Yes,No,JavaScript,No,No,No,No,Yes,No,No,No,No
MidgardWiki,Yes,Yes,No,PHPcanbeusedinpagetemplates,X2,X3,No,Yes,No,X2,Yes,No,Yes,No,Yes,No,No
SubWiki,No,No,N_A,N_A,No,No,No,No,N_A,No,Yes,No,No,No,No,No,N_A
UseMod,No,No,N_A,N_A,No,No,No,No,N_A,No,Yes,X4,X4,No,No,No,HTML3
Nexdo,No,No,HTML4,N_A,PrintView,Yes,N_A,Yes,No,No,No,Yes,No,No,Yes,Yes,No
Intodit,Yes,N_A,N_A,N_A,N_A,N_A,XHTML1_0Strict,N_A,N_A,N_A,Yes,Yes,N_A,N_A,N_A,N_A,N_A
MoniWiki,X2,X3,Yes,Yes,Yes,Yes,No,PluginmechanismTemplate_engine,Yes,X3,Yes,Yes,X2,X2,X2,Yes,Yes
PBwiki,No,Yes,X2,No,Yes,Yes,X2,HTML4,Yes,PrintCSS,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XoWiki,X2,N_A,N_A,N_A,N_A,Yes,X3,Yes,Yes,Yes,X2,Yes,X2,Yes,Yes,Yes,N_A
JaWiki,No,No,No,No,No,Yes,No,N_A,No,Yes,No,N_A,No,No,No,No,No
PukiWiki,Yes,X3,Yes,X2,Yes,Yes,No,PluginsPHPskinsPHPCSSesPHPCSS,X3,X3,X4,N_A,No,X4,X4,Yes,X3
Wiki,No,X3,No,No,No,No,No,XHTML1_0Transitional,Yes,No,N_A,Yes,Yes,Yes,No,No,No
WikiSpot,Yes,Yes,Yes,Yes,No,No,No,HTML4,Yes,PrintCSS,X2,Yes,Yes,No,No,Yes,No
Bitweaver,Yes,X2,Yes,Yes,Yes,Yes,No,N_A,Yes,Yes,No,N_A,X2,X2,X2,Yes,Yes
Gazest,N_A,N_A,Yes,N_A,N_A,N_A,Yes,N_A,N_A,N_A,No,N_A,N_A,Yes,N_A,N_A,N_A
Gitit,No,X2,Yes,Yes,Yes,Yes,No,N_A,No,No,No,No,No,No,No,No,X3
SamePage,Optional,X3,Simplecomplex,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Directscriptingprohibitedforsecurityreasons_Canbedoneviapluginscustomjsfiles_,Yes,Yes
EditMe,No,Yes,No,No,Yes,Yes,Yes,HTML4,Yes,PrintCSS,X2,Yes,Yes,No,No,No,Yes
ThoughtFarmer,Yes,No,No,No,Yes,Yes,No,Javascriptoptional,No,Yes,No,Yes,No,Yes,Yes,No,No
WikkaWiki,No,Yes,X3,Yes,Yes,Yes,No,Extensibilitythroughdropinplugins,Yes,Yes,No,Yes,Yes,Yes,X3,X4,X4
WikionaStick,No,No,X3,N_A,Yes,Yes,No,JavaScript,Yes,No,No,Yes,X2,Yes,No,Yes,No
WxWikiServer,No,No,Yes,No,No,Yes,No,No,N_A,Yes,No,Yes,No,Yes,No,XHTML1_0Strict,Yes
MindTouch,All,Yes,Simplecomplex,No,No,No,No,X2,Yes,X3,Yes,Yes,Yes,Yes,YesonecanaddanunsafeextensionandaddanyscriptinglanguageoruseDekiScriptwhichhasaJavascriptsyntax_,Yes,Yes
DokuWiki,Yes,Yes,Yes,Yes,X3,X3,X3,OptionalPHP,X3,Yes,Yes,Yes,X3,Yes,X3,Yes,Yes
BusinessWiki,Some,X2,Simplecomplex,N_A,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,N_A,X3,X3
ProWiki,Yes,No,Yes,Yes,No,Yes,No,N_A,Yes,No,Yes,Yes,No,No,No,No,Yes
UniWakka,No,No,Yes,No,No,Yes,No,No,N_A,No,Yes,Yes,Yes,No,No,No,XHTML1_1
WikiNi,No,Yes,X3,N_A,N_A,X4,No,N_A,Yes,X4,No,N_A,Yes,X4,No,Yes,No
Wiclear,Yes,Yes,Yes,No,Notatthemoment,No,Yes,Yes,No,X3,No,Yes,No,Yes,No,No,No
MediaWiki,X2,X3,Yes,No,Yes,Yes,No,Optional,Yes,X3,Yes,Yes,X2,Yes,X3,Yes,Yes
KeheiWiki,No,X3,No,Yes,Yes,Yes,Yes,Yescustomtagsjavascriptvariables,Yes,Yes,Yes,Yes,X2,Yes,Yes,No,Yes
PodWiki,Yes,Yes,No,Perl,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No
XWiki,Yes,Yes,Yes,Yes,Yes,Yes,X3,VelocitygroovyrubyjythongenericJSR223verypowerfulAPI,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Yawiki,No,No,Yes,N_A,N_A,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes
WackoWiki,X4,Yes,Yes,Yes,Yes,Yes,No,Actions,Yes,Yes,No,N_A,Yes,Yes,Yes,Yes,Yes
MetadotWiki,No,No,Yes,No,HTML4,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes
