Identifior,InternalLink,ExternalLink,Headlines,BoldFormat,ItalicsFormat,UnderlineFormat,MonospaceFormat,StrikethroughFormat,SuperscriptFormat,SubscriptFormat,Images,AligningText,TextIndentation,BulletedLists,NumberedLists,DefinitionLists,HorizontalRule
Groupswiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Sputnik,N_A,N_A,N_A,N_A,Sputnik,Sputnik,X1_Sputnik,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Socialtext,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
TracWiki,Strikethrough,Superscript,Subscript,Imagephoto_jpgsimplestImagephoto_jpg120pxwithsizeImagephoto_jpgrightalignedbykeywordImagephoto_jpgnolinkwithoutlink,N_A,N_A,Item1Item1_1Item1,X1_Item11_Item1_11_Item1,Termdefinition,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
OpenWikiNG,Strikethrough,Superscript,VvSubscriptvv,Image_gifimage_jpgimage_pngsharedimageimage_gifsharedimageimage_jpgsharedimageimage_png,Syntax1Thisparagraphiscentered_Thisparagraphisleftaligned_ThisparagraphisrightalignedSyntax2Thisparagraphiscentered__Thisparagraphisleftaligned__Thisparagraphisrightaligned__Thisp,Textindented,BulletedItemAnotheroneSubbulleteditemAndanotheroneLastone,X1_Firstitem2_Seconditem1_Firstsubitemof__seconditem__1_Secondsubitemof__seconditem__a_subitemaa_subitemb1_Thirdsubitemof__seconditem__i_subitem1i_subitem23_Third,TermOneDefinitionforOneindentedTermTwoDefinitionforTwoindentedTermThreeDefinitionforThreeindentedTermindentedDefinitionindentedtwolevelsTermindentedtwiceDefinitionindentedto,Singledouble,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Hatta,No,No,No,Imageimagealt,No,No,Listsublist,No,No,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
MidgardWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
SubWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
UseMod,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Nexdo,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Intodit,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
MoniWiki,Strike,Suppernospacessuperscriptionwithspaces,Subscript,Http__foo_bar_foo_jpgorattachmentfoo_jpgAttachmentfoo_jpg,Onlyintablesleftspacespacemiddlespacerightspace,Indentedtextindentedtextandindentedtextindentedtext,Item1Item1_1continue__continue__Item2,X1_Item1a_Item1_a1_Item2I_Item2_I1_Item3I_48Item3_withvalue48attribute,Termdefinition,HRwithdifferentthicknessoptional,N_A,N_A,N_A,N_A,N_A,N_A,N_A
