Identifior,HTML,CSSStylesheets,PrinterFriendly,MobileFriendly,ThemesSkins,RSSFeeds,ATOMFeeds,Abbreviations,AutoTOC,RawExport,HTMLExport,XMLexport,PDFExport
Groupswiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Sputnik,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
Socialtext,N_A,N_A,N_A,Link,Http__www_example_com,Headline,Bold,Italics_,N_A,Premonospace_pre,Strikethrough,N_A,N_A
TracWiki,X3,Yes,Yes,No,No,X3,Yes,No,X3,No,No,No,No
OpenWikiNG,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No
Hatta,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
MidgardWiki,X2,No,X2,X2,No,No,No,Contents,WikipageWikipagelinklabel,Externallinkhttp__www_example_net,TopLevelHeadingSmallerHeadingSmallestHeading,Bold,Italics_
SubWiki,No,No,N_A,N_A,N_A,No,N_A,N_A,Level1Level2Level3Level4,Bold,Italic,No,Monospaced
UseMod,No,No,N_A,N_A,N_A,No,N_A,N_A,Level1Level2Level3Level4Level5Level6,Bold,Italic,Uunderline_u,Ttformonospacetext_tt
Nexdo,HTML,HTML,N_A,HTML,HTML,HTML,HTML,HTML,N_A,N_A,N_A,N_A,N_A
Intodit,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
MoniWiki,X2,Yes,Yes,Yes,X3,X3,Yes,No,X3,X3,X3,No,X3
PBwiki,X3,X2,X3,CamelCaseLinkorFreeLink,Http__www_externallink_com,Level1Level2Level3Level4Level5Level6,Bold,Italics,Underline__,Codemonospace_code,Strikethrough,Supsuperscript_sup,Subsubscript_sub
XoWiki,Yes,X2,N_A,N_A,N_A,N_A,Yes,Yes,Yes,Yes,N_A,N_A,N_A
JaWiki,N_A,N_A,N_A,N_A,Yes,N_A,Yes,Yes,No,No,No,No,No
PukiWiki,No,X3,X3,No,No,No,X3,No,X3,No,X3,No,No
Wiki,No,No,No,PagenameorAliaspagenameorAliaspagename,Http__somewhere_else_orhttp__somewhere_else_orAliashttp__somewhere_elseorAliashttp__somewhere_else,HeadlineHeadlineHeadline,Boldorboldboldtext,Iitalicstext,Uunderline,N_A,Deltextor,Suptext,Subtext
WikiSpot,No,No,No,FrontPage,Http__www_example_com,HeadlineSubHeading,Bold,Italic,Underline__,Monospace,XStrikethroughX,Superscript,Subscript
Bitweaver,N_A,Yes,N_A,N_A,N_A,Yes,Yes,N_A,Yes,Yes,N_A,N_A,Yes
Gazest,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,Alink,Alabelhttp__example_comorplugin,FirstLevelSecondLevelorFirstLevelSecondLevelorplugin,Boldorplugin
Gitit,No,Yes,Yes,No,Yes,No,Yes,Yes,N_A,N_A,No,No,No
SamePage,HTML4,Yes,PrintView,N_A,Yes,Yes,Yes,Yes,X3,No,Yes,Yes,Yes
EditMe,Yes,Yes,No,PageNameorUseWYSIWYGeditor,Http_____LinkTextorUseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditorCtlB,UseWYSIWYGeditorCtlI,UseWYSIWYGeditorCtlU,UseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditor
ThoughtFarmer,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WikkaWiki,X4,X4,Yes,X3,X4,No,Yes,No,Yes,No,No,No,Yes
WikionaStick,N_A,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,N_A,No
WxWikiServer,No,No,No,No,No,CamelCaseAnotherLinkgotoalink,Http__www_powerslave_comhttp__www_external_comxternallink,Headingheadingheadingupto5signs_,Boldtext,Italictext,N_A,Startlinewithblankspace_,N_A
MindTouch,XHTML1_1,Yes,PrintView,X3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DokuWiki,Yes,Yes,Yes,Yes,No,X3,Yes,No,Yes,X3,No,X3,X3
BusinessWiki,XHTML1_0Transitional,X2,PrintView,Yes,Yes,Yes,Yes,N_A,N_A,N_A,Yes,Yes,Yes
ProWiki,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
UniWakka,No,No,N_A,N_A,N_A,No,N_A,N_A,PageTitlePartSectionSubSectionSubSubSection,Bold,Italics__,Underline__,Monospace
WikiNi,No,N_A,Yes,No,No,X3,X3,N_A,X3,X3,No,No,No
Wiclear,No,Yes,No,No,No,No,No,No,No,Title,Titlehttp__url_to_,Title1title2title3,Bold__
MediaWiki,No,Yes,Yes,Yes,Yes,X3,Yes,Yes,X3,X3,No,No,X3
KeheiWiki,Yes,Yes,Yes,Yes,No,No,X3,X3,Yes,Yes,No,No,No
PodWiki,Yes,No,X2,X2,No,No,No,No,PODLSandboxLLinkDescriptionSandboxCreoleSandboxSandboxLinkDescriptionBBcodeurlSandbox_urlurlSandboxLinkDescription_url,Lhttp__www_daemon_de,Head1TheWeather,Bbold,Iitalics
XWiki,X3,X2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,X2
Yawiki,N_A,Yes,N_A,N_A,N_A,N_A,N_A,N_A,N_A,SimpleLink,Http__yawiki_jzonic_org,HeaderHeaderHeader,Boldbold
WackoWiki,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,X3
MetadotWiki,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYG,Menudriven,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYG,WYSIWYG,N_A,N_A
LionWiki,No,Yes,No,No,No,No,X3,No,Yes,Yes,No,No,No
Oddmuse,No,X3,Yes,Yes,No,No,X2,Yes,No,No,No,No,No
ErfurtWiki,X2,X3,Yes,Yes,X2,X2,X3,No,X3,X3,No,No,No
Telepark_wiki,N_A,N_A,N_A,N_A,N_A,N_A,Yes,N_A,Yes,Yes,N_A,N_A,N_A
Pier,N_A,Yes,N_A,N_A,Yes,N_A,N_A,N_A,N_A,Pagenamelinktextpagename,Http_____linktexthttp_____,Text,Viahtml
PAUX,X2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
TrikiWiki,No,X3,No,No,No,No,Yes,No,X2,X2,No,No,No
SharePointWikiPlus,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No
Swirrl,No,No,No,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
JOTWiki,Yes,No,Yes,Yes,No,No,No,Filenamesonly,MyOtherPageMyOtherPagesection_3page_23MyOtherPageother_namespacepagex,Http__www_google_comhttp__www_google_comGooglefile__c_tmp_mailtojohndoe_com,Largest2Medium4smallest,Boldtext,Italicformat__
WiGit,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Cospire,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikiDoc,Yes,No,No,No,No,No,No,Filenamesonly,OtherpageOtherpagelinktosomeotherpage,Http__wiki_gorisek_com,Heading1,Thisisbold,Italic
