Identifior,OperatingSystem,RootAccess,Webserver,OtherRequirements
Groupswiki,N_A,No,N_A,N_A
Sputnik,No,X3,No,No
Socialtext,X2,Yes,Http__www_socialtext_net_stoss,Http__www_socialtext_net_stoss
TracWiki,No,Yes,No,No
OpenWikiNG,Yes,Yes,No,No
Hatta,No,X2,No,Yes
MidgardWiki,No,No,No,Yes
SubWiki,No,No,No,Yes
UseMod,No,No,No,No
Nexdo,N_A,No,N_A,N_A
Intodit,Yes,N_A,N_A,N_A
MoniWiki,No,No,No,Yes
PBwiki,No,Yes,N_A,N_A
XoWiki,Yes,No,No,No
JaWiki,No,No,No,Yes
PukiWiki,No,No,No,No
Wiki,No,No,No,No
WikiSpot,No,No,Http__wikispot_org_Bug_reports,Http__wikispot_org_Development
Bitweaver,Yes,No,No,No
Gazest,Yes,Yes,No,No
Gitit,N_A,N_A,N_A,Yes
SamePage,Windows_Linux_Solaris,No,BundledwithTomcat_CanrunonanyJ2EEappserverOASJBOSSWebLogicWebSphereetc_CanbeproxiedviawebserverofchoiceApacheIISetc,JDK1_5
EditMe,No,Yes,Http__wiki_editme_com_Forum3,Http__www_editme_com_MailingListSignup
ThoughtFarmer,No,No,No,No
WikkaWiki,No,No,No,No
WikionaStick,No,No,No,No
WxWikiServer,No,No,No,No
MindTouch,WindowsLinuxBSDMACOSX,Yes,ApacheandIIS,MonoCaninstallinminutesusingpreparedVMwarecertifiedimages_
DokuWiki,No,No,No,No
BusinessWiki,LinuxWindows,Yes,AnywithPHPsupport,N_A
ProWiki,No,No,No,Yes
UniWakka,No,No,No,No
WikiNi,No,No,No,No
Wiclear,No,No,No,No
MediaWiki,N_A,Yes,No,No
KeheiWiki,X3,X3,X3,X3
PodWiki,No,No,No,Yes
XWiki,Yes,No,No,No
Yawiki,Yes,Yes,Yes,N_A
WackoWiki,No,No,No,No
MetadotWiki,No,No,MetadotMojoHelpDeskopensourceproduct,LinktoMetadotSupportForumemailpost_reply
LionWiki,No,No,No,No
Oddmuse,No,No,No,No
ErfurtWiki,No,X3,X3,X3
Telepark_wiki,X2,X2,N_A,N_A
Pier,No,No,No,No
PAUX,X2,X2,X2,X2
TrikiWiki,No,No,No,No
SharePointWikiPlus,No,No,No,No
Swirrl,No,Yes,N_A,N_A
JOTWiki,No,No,No,No
WiGit,No,No,No,No
Cospire,No,No,Availablewithinsystem,N_A
WikiDoc,No,No,No,No
KWikiKWiki,No,No,No,N_A
PortiliTeamWiki,No,No,No,No
WikiASP,N_A,N_A,N_A,N_A
Clearspace,Yes,No,No,No
PmWiki,No,No,No,No
BrainKeeper,No,No,IssueTrackerisavailabletoanyonewithaBrainKeepersite_,Http__www_brainkeeper_com_community_mailingList_php
Ikiwiki,No,No,No,Yes
BLADEWiki,No,No,No,No
Wicked,Yes,Yes,No,No
CanvasWiki,N_A,N_A,N_A,N_A
TractionTeamPage,X2,No,No,No
Incentive,Windows2003orlater,No,InternetInformationService6orlater,N_A
WalaWiki,No,No,No,No
WikiSH,No,No,No,X2
PhpWiki,Yes,Yes,Yes,Yes
Sycamore,No,X2,No,No
MicKI,No,No,No,No
PersonalPPCWiki,No,No,No,No
Foswiki,No,No,No,Yes
LunaWiki,No,No,No,No
DrupalWiki,X3,X4,No,No
VQWiki,Yes,No,No,No
CodeBeamer,Yes,No,No,No
ProjectForum,No,No,No,No
JSPWiki,X3,X3,X3,X3
Wikepage,No,No,No,No
Luminotes,OnlineversionAnyOperatingSystemDownloadversionWindows_Linux,No,Nonerequired,N_A
Wikispaces,No,Yes,Http__www_wikispaces_com_bugs,No
WikiCSharp_NET,No,No,No,No
Instiki,X3,Yes,No,No
TWiki,No,No,No,Yes
TiddlyWiki,No,No,No,No
GitWiki,No,No,No,Yes
Wagn,Many,No,Many,N_A
MoinMoin,No,No,No,No
ScrewTurnWiki,No,No,No,No
ButorWiki,No,No,No,No
Jacwiki,No,No,No,No
GeniusWiki,Platformindependent,No,TomcatJettyGlassfishWeblogicWebsphereJBoss,N_A
Zwiki,X3,N_A,N_A,N_A
ProntoWiki,N_A,N_A,N_A,N_A
ClearWiki,No,No,N_A,N_A
WikiCrowd,No,No,No,No
Giki,No,No,No,No
PicoWiki,No,N_A,Infopicowiki_com,Byemail
GeboGebo,No,No,No,No
Anwiki,No,No,No,No
Springnote,N_A,N_A,N_A,Http__www_springnote_com_en_forum_notice
WikyBlog,No,No,No,No
BoltWire,No,No,No,No
Wikia,X2,Yes,Http__bugs_wikia_com_,Http__www_wikia_com_mailman_listinfo_wikial
PageWork,No,X4,Yes,No
Wetpaint,No,No,Http__www_wetpaintcentral_com,N_A
ZohoWiki,N_A,Yes,Wiki_zoho_com,Wiki_zoho_com
IkeWiki,No,No,No,No
Riki,N_A,Yes,N_A,N_A
ConnectedText,No,No,No,No
TikiWikiCMSGroupware,No,No,No,No
Netcipia,No,No,Http__feedback_netcipia_com,N_A
X3FWiki,Yes,Yes,Yes,X4
FlexWiki,No,No,No,No
WikiToolkit,No,Yes,No,No
CentralDesktop,N_A,Yes,N_A,N_A
MiniWiki,No,No,No,No
MojoMojo,X4,Yes,N_A,N_A
JAMWiki,Yes,N_A,N_A,N_A
Pimki,Yes,Yes,N_A,No
Friki,No,No,No,No
Daisy,N_A,N_A,N_A,N_A
CorendalWiki,Yes,No,No,No
Wikidot,N_A,N_A,N_A,N_A
Confluence,WindowsMacLinuxandUnixvariants,No,TomcatResinWeblogicJBossWebsphere,Java5
