Name;Mac;Linux;Windows;Online backup service;Freeware version;Portable;Detect conflict;File lock;Open file support;Revision control;Detect rename;Detect move;Full duplex transfer;Propagate deletes;Case sensitive;Delta copying (block level transfer);Open source;Other OS
Allway Sync;No;No;Yes;via other providers;with limits;Yes;Yes;;;;No;No;;Yes;;;No;No
AIMstor;No;No;Yes;No;with limits;Yes;Yes;Yes;Yes;through VSS;Yes;Yes;Yes;Yes;case preserving;;No;No
BackupAssist;No;No;Yes;via Rsync;No;;No;;Yes;;;;;;;;No;No
Backup4all;No;No;Yes;;Yes;Yes;No;;Yes;Yes;;;;Yes;;;No;No
BestSyncFTP;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;No;No
BestSync;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;No;No
Box Sync;;;Yes;Yes;;;Yes;;;Yes;;;;Yes;;;No;Yes
broolz;Yes;Yes;Yes;No;non commercial;;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;No;No
Distributed Storage;No;Yes;Yes;via other providers;No;;Yes;Yes;Yes;;;;;;;;No;No
Dmailer Sync;No;No;Yes;Yes;Yes;;;;;;;;;;;;No;No
Easy Computer Sync;No;No;Yes;;;No;Yes;;;;;;;;;;No;No
Easy2Sync for Files;No;No;Yes;;Yes;;Yes;;;Yes;for folders;;;;;;No;No
Egnyte;Yes;Yes;Yes;Yes;No;No;handled by versioning;Yes;No;Yes;Yes;Yes;Yes;Yes;case preserving;;No;Android, iPad, iPhone
File Replication Pro;Yes;Yes;Yes;No;No;No;;Yes;Yes;;;Yes;;;;Yes;No;AIX, BSD, HP-UX, Netware, Solaris, Unix
GoodSync;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No
Handy Backup;No;No;Yes;;No;;No;;;;;;;;;;No;No
RepliWeb Deployment;No;Yes;Yes;No;No;;partial;;;Yes;Yes;Yes;Yes;Yes;Yes;;No;Yes
Robocopy;No;No;Yes;No;Yes;No;No;;;;;;;;;;No;No
SpiderOak;Yes;Yes;Yes;Yes;Yes;;;;;Yes;;;one-way sharing only;;;;Partial;No
SugarSync;Yes;No;Yes;Yes;Yes;No;;;;Yes;;;;;;;No;Android, BlackBerry, iPhone, Windows Mobile
SuperFlexible;Yes;Yes;Yes;Yes;Linux only;manual install;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;No
SureSync;See Other OS;See Other OS;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;No;Cross-platform possible, from Windows via UNC path or mapped drive
SyncBack;No;No;Yes;No;Yes;;Yes;;;Yes;;;;;;;No;No
Syncdocs;No;No;Yes;Yes;beta only;Yes;Yes;No;Yes;Yes;Yes;Yes;for MS Word only;Yes;;;No;Google Docs web interface only
Synchronize It!;No;No;Yes;No;No;;No;;;;;;;;;;No;No
Syncplicity;Yes;No;Yes;Yes;Yes;;Yes;;;Yes;;;Yes;Yes;;;No;No
Synk;Yes;No;No;via other providers;No;;Yes;No;Yes;Yes;;;Yes;Yes;;;No;No
Tectia MFT Events;No;Yes;Yes;No;No;No;No;Yes;No;No;Yes;Yes;one way;Yes;but you can force lowercase;No;No;Solaris
Tonido;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;;;No;Android, BlackBerry, iPhone, Windows Phone
Ubuntu One;No;Yes;Yes;Yes;Yes;;;;;;;;;;;;Partial;No
Wuala;Yes;Yes;Yes;Yes;Yes;;;;;;;;;;;;Partial;Android
ZumoDrive;Yes;Yes;Yes;Yes;Yes;;Yes;;;Yes;;;;;;;No;Android, iPhone, Palm webOS
