Name;IP SLA Reports;Logical Grouping;Trending;Trend Prediction;Auto Discovery;Agent;SNMP;Syslog;Plugins;Triggers / Alerts;Distributed Monitoring;Inventory;Maps;Access Control;IPv6;WebApp;License;Data Storage Method
AdRem NetCrunch;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;;Viewing, Acknowledging;Commercial;SQL
AccelOps;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Full Control;Commercial;PostgreSQL
AggreGate Network Manager;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Full Control;Limited free, Commercial;MySQL, MS SQL, PostgreSQL, Oracle, Firebird, HSQLDB
Argus;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;;No;Yes;Yes;Viewing, Acknowledging;Artistic License;Berkeley DB
Avaya VPFM;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;Commercial;MySQL
Cacti;Yes;Yes;Yes;Yes;plugin;No;Yes;Yes;Yes;Yes;Yes;Yes;Plugin;Yes;Yes;Full Control;GPL;RRDtool, MySQL
collectd;No;No;No;No;Push model, multicast possible;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Apache ACL;Yes;Viewing;GPLv2;RRDtool
Dhyan Network management System;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;Commercial;MySQL, Oracle, Derby
dopplerVUE;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;Commercial;MS SQL
ExtraHop;Yes;Yes;Yes;No;Yes;N_A;Yes;No;No;Yes;With Aggregator;Yes;Yes;Yes;Yes;Full Control;Commercial;Proprietary
FreeNATS;Yes;Yes;No;No;Yes;Yes;No;plugin;Yes;In PHP Code;No;No;No;Yes;;Full Control;GPL;MySQL
Ganglia;No;Yes;Yes;No;Via gmond check in;Yes;plugin;No;Yes;No;Yes;;Yes;No;;Viewing;BSD;RRDtool
HP Network Node Manager (NNMi);Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;Commercial;PostgreSQL, Oracle Database
Kaseya Network Monitor;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Full Control;Commercial;FirebirdSQL
IBM Tivoli Network Manager;via configuration;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Commercial;MySQL, Oracle Database, DB2
Icinga;plugin;Yes;Yes;No;plugin;Yes;plugin;plugin;Yes;Yes;Yes;plugin;Yes;Yes;Yes;Full Control;GPL;MySQL, PostgreSQL, Oracle Database
InterMapper;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Viewing;Limited free, Commercial;PostgreSQL
IPHost Network Monitor;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No;;Viewing, Acknowledging, Reporting;Commercial;FirebirdSQL
isyVmon;Yes;Yes;Yes;No;plugin;Yes;Yes;Yes;Yes;Yes;Yes;plugin;plugin;Yes;Yes;Full Control;Limited free, Commercial;RRDtool, MySQL
LiveAction;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Viewing, Reporting;Commercial;Yes
