Name;Linux/Unix;Windows;Mac OS;SMTP;POP3;IMAP;IMAP IDLE;SMTP over TLS;POP over TLS;IPv6;NNTP;SSL;Webmail;ActiveSync;Filesystem;Other;License
agorum core;Yes;Yes;No;Yes;No;Yes;;No;No;;No;Yes;Yes;No;No;No;Open Source,GPLv2
Apache James;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;;Yes;Yes;No;No;Yes;No;Open Source,ASLv2
Atmail;Yes;No;Yes;Yes;Yes;Yes;Yes;;Yes;;No;Yes;Yes;Yes;Yes;No;Proprietary
Axigen;Yes;Yes;No;Yes;Yes;Yes;;Yes;Yes;No;No;Yes;Ajax, Basic;Yes;No;Yes;Proprietary
CommuniGate Pro;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Proprietary
Courier Mail Server;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;No;maildir;No;Open Source
Digital Integration iMail5;Yes;Yes;No;Yes;Yes;Yes;;Yes;Yes;;No;Yes;Yes;No;Yes;Yes;Proprietary
Dovecot;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;No;maildir, mbox, dbox;No;Open Source,Mixed
Eudora Internet Mail Server;No;No;Yes;Yes;Yes;Yes;;No;No;;No;No;No;No;No;Yes;Proprietary
Exim;Yes;via Cygwin;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;Open Source,GPL
FirstClass;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Proprietary
Gordano Messaging Suite;Yes;Yes;No;Yes;Yes;Yes;;Yes;Yes;;No;Yes;Yes;No;Yes;Yes;Proprietary
GroupWise;Yes;Yes;No;Yes;Yes;Yes;;Yes;Yes;;;Yes;Yes;Yes;No;No;Proprietary
Hexamail Server;Yes;Yes;No;Yes;Yes;Yes;;Yes;Yes;;No;Yes;Yes;No;Yes;No;Proprietary
IndiMail;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;No;No;Yes;No;Open Source,GPLv3
Ipswitch IMail Server;No;Yes;No;Yes;Yes;Yes;;Yes;Yes;;No;Yes;Yes;Yes;Yes;No;Proprietary
JMail;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Proprietary
Kerio Connect;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;No;Proprietary
MagicMail;Yes;No;No;Yes;Yes;Yes;;Yes;Yes;;No;Yes;Yes;No;Yes;Yes;Proprietary
MailSite Fusion;No;Yes;No;Yes;Yes;Yes;;Yes;Yes;;No;Yes;Yes;Yes;Yes;Yes;Proprietary
Mailtraq;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;Yes;Proprietary
MDaemon Mail Server;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;;No;Yes;Yes;No;Yes;No;Proprietary
Meldware Mail Server;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;;;Yes;Yes;No;Yes;No;Open source,LGPL
Mercury Mail Transport System;No;Yes;No;Yes;Yes;Yes;;Yes;Yes;;No;Yes;Yes;No;Yes;No;Proprietary,donationware
Microsoft Exchange Server;No;Yes;No;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Proprietary
Mirapoint;Yes;No;No;Yes;Yes;Yes;;Yes;Yes;;No;Yes;Yes;No;Yes;Yes;Proprietary
NetMail;Yes;Yes;No;Yes;Yes;Yes;;Yes;Yes;;;Yes;Yes;No;No;No;Proprietary
Oracle Communications Messaging Exchange Server;Yes;No;No;Yes;Yes;Yes;;Yes;Yes;;No;Yes;Yes;No;Yes;No;Proprietary
Postfix;Yes;No;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Open source,IBM Public License
qmail;Yes;No;Yes;Yes;Yes;No;No;No;No;;;No;No;No;Yes;No;Public domain
Sendmail;Yes;No;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;;Open source,Sendmail License
SurgeMail;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;;No;Yes;Yes;No;Yes;Yes;Proprietary
WinGate;No;Yes;No;Yes;Yes;Yes;;Yes;Yes;;;Yes;Yes;No;Yes;No;Proprietary
Zarafa;Yes;No;No;External;Yes;Yes;Yes;External;Yes;No;No;Yes;Yes;Yes;Yes;No;Open Source,Proprietary
Zimbra;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;Open Source,Proprietary
