Name;Newest_graphics_API_used;Normal_mapping;Specular_mapping;Displacement_mapping;Dynamic_lighting;Dynamic_environment_reflections;Soft_shadows;Visual_tire_deformations;Visual_tire_wear;Visual_dirt_on_tire;Visual_3D_suspension_travel;Full-scene_anti-aliasing;High_Dynamic_Range_Imaging;FSAA_and_HDR_together
NASCAR_2003;DirectX_8.1,OpenGL;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No
Racer;OpenGL;Yes;No;No;Partial;Yes;Yes;No;No;No;Partial;No;Yes;No
GTR;DirectX_8.1;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No
GT_Legends;DirectX_9;Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No
GTR_2;DirectX_9;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No
RACE;DirectX_9;Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No
rFactor;DirectX_9;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No
netKar_Namie;No;No;No;No;No;No;No;No;No;No;No;No;No;No
netKar_Pro;DirectX_9;Yes;Yes;No;No;Yes;No;No;Yes;Yes;Yes;No;No;No
Live_for_Speed;DirectX_8.1;No;No;No;No;No;Yes;Yes;No;No;Yes;Yes;No;No
Richard_Burns_Rally;DirectX_9;Yes;Yes;No;No;Yes;Partial;No;No;No;Yes;No;No;No
Drivers_Republic;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Virtual_Grand_Prix_2;OpenGL;No;Yes;No;No;Yes;Partial;No;No;No;Yes;No;No;No
X_Motor_Racing;DirectX_9;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
F1_Challenge_9902;DirectX_8.1;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;No
TORCS;OpenGL;Yes;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No
Grand_Prix_Legends;DirectX_7,OpenGL;No;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No
Grand_Prix_4;DirectX_8.1;Yes;No;No;No;Yes;Yes;No;No;No;Yes;No;No;No
iRacing_com;DirectX_9;Yes;Yes;No;No;No;Yes;No;No;No;Yes;Yes;No;No
