Product;Styles (bold/italic/etc.);Page Turn Effects;Themes;Day/Night mode;Enable/Disable sleep mode;Brightness Control;Indent paragraph;Enable/Disable CSS;Enable/Disable hyphenation;Customize margins;Customize text alignment;Customize font;Customize font scale;Customize line space;Customize paragraph space;Customize color;Customize transparency
Apabi Reader;Yes;Configurable;Configurable including background image;Yes;No;Vertical swipe;Yes;Yes;Yes;No;Yes;Yes;Pinch zoom gestures;Yes;Yes;Yes;No
Blio;Yes;Yes;No;Yes;No;No;No;No;No;No;Justification only;No;Yes;No;;Pre-set choices only;No
Bluefire Reader;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Pre-set choices only;Justification only;Pre-set choices only;Yes;No;No;Yes;No
eBookMobi;Yes;No;Yes;No;No;Yes;No;No;No;No;No;Yes;Yes;No;No;Yes;No
i2Reader;Buggy;Yes;Yes;Using styles;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
iBooks;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;Sepia effect;No
Kindle;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No
Kobo eBooks;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;Yes;Pre-set choices only;Yes;No;No;Sepia effect;No
MegaReader;No;Configurable;Yes;No;Yes;Vertical swipe;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes
ShuBook;Buggy;Configurable;Yes;Yes;Yes;Vertical swipe;Configurable;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No
Stanza;Yes;Configurable;Configurable including background image;Yes;Yes;Vertical swipe;Yes;Yes;Yes;Yes;Yes;Yes;Pinch zoom gestures;Yes;Yes;Yes;Yes
uBooks;Buggy;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;;Yes;No
