Product;In-App purchases;Price
Apabi Reader;;Free
Blio;7,99 (Voices);Free
Bluefire Reader;;Free
eBookMobi;;1,59
i2Reader;;3,99
iBooks;;Free
Kindle;;Free
Kobo eBooks;;Free
MegaReader;;1,59
ShuBook;1,59 (Extra features);Free
Stanza;;Free
uBooks;3,99 (uBooks XL ad-free);Free
