Name;Protocol;Programming language;Windows;Mac OS X;License;Portable;Detect conflict;Detect rename;Detect move;Undo;Linux;Scheduling;Other OS
AcidRain;file system;;Yes;Yes;;;Yes;;;;Yes;;No
BBOX;file system;;Yes;Yes;;;Yes;;;;Yes;;No
CleanSync;file system;C#;Yes;No;GPLv3;;Yes;;;;No;;No
Conduit;network/web app;Python;No;No;GPL;;;;;;Yes;Yes;No
Create Synchronicity;file system;Visual Basic .NET;Yes;No;GPL;Yes;Yes;No;No;;using Mono;native, via OS;No
DirSync Pro;file system;Java;Yes;Yes;GPLv3;Yes;Yes;No;No;Creates backups;Yes;native, via OS;cross-platform
DoubleSnap;;C#;Yes;No;GPLv3;;Yes;;;;No;;No
F. A. S. T.;file system;C#;Yes;No;GPLv3;;Yes;;;;No;;No
FreeFileSync;file system;C++;Yes;No;GPL;Yes;Yes;Yes;Yes;versioning, recycler;Yes;Yes;Yes
iFolder;file system;C#, Mono;client software only;client software only;GPL;No;centralized database;files;files;;Yes;;No
JFileSync;file system or network;Java;Yes;Yes;GPL;Yes;Yes;No;No;No;Yes;via OS;Yes
OneSync;file system;C#;Yes;No;GPL;No;Yes;Yes;Yes;;No;No;No
rsync;file system;C in a Unix-Linux shell;Yes;Yes;GPL;Yes;No;No;No;No;Yes;via OS;Yes
SparkShare;file system;Python;No;Yes;GPL v3;Yes;Yes;No;No;Yes;Yes;;Android
Synkron;file system;C++;Yes;Yes;GPL v2;Yes;Yes;No;No;Yes;Yes;Yes;No
Toucan;file system;C;Yes;No;GPLv3;Yes;Yes;No;No;recycle bin;No;No;No
Unison;similar to rsync;Objective Caml;Yes;Yes;GPL;Yes;centralized database;No;Yes;No;Yes;via OS;Yes
