Identifior,UnicodeSupport,RSSFeeds,EmbeddedFlash,ImageEditing
MoinMoin,Yes,Yes,Yes,No
PBwiki,No,Yes,Indentedblock,Number1Number2
DokuWiki,Yes,Yes,Yes,Yes
PmWiki,Yes,Yes,Yes,Yes
DrupalWiki,Yes,Yes,Yes,Yes
TWiki,Yes,Yes,Yes,Yes
MediaWiki,Yes,Yes,Yes,No
Confluence,Yes,Yes,Yes,Yes
