Identifior,TextFiles,MySQL,PostgreSQL,Oracle,SQLite,BerkeleyDB,RCS,Other
PersonalPPCWiki,SimpleSQLLookup,No,No,N_A,No,No,No,No
Foswiki,Cachingofcontentintodatabaseusingplugins,Yes,Yes,InternalauthenticationanythingApachesupportssuchasLDAPNISADKerberos,X3,Yes,Yes,X3
LunaWiki,DBstoragepluginsareplanned_,Yes,No,NativePHP,No,No,No,No
DrupalWiki,MemcacheMssql,Yes,Yes,ActiveDirectoryLDAPOpenIDOAuthMySQLPostgreSQL_htaccessKerberosNTLM,Yes,X3,X3,Yes
VQWiki,AnyJDBCdatabase,Yes,No,LDAP,X2,No,No,No
CodeBeamer,Derbyincluded,Yes,Yes,LDAPActiveDirectorySiteMinder,No,No,X2,X2
ProjectForum,Metakitopensource,Yes,Yes,Builtinorexternalviagatewaye_g_LDAP,No,No,No,No
JSPWiki,Pageproviderarchitectureseveralimplementations,Yes,Yes,JAAS,X2,X3,X2,Yes
Wikepage,N_A,Yes,No,N_A,No,N_A,Yes,No
Luminotes,No,No,Yes,No,Yes,No,No,N_A
Wikispaces,Http__www_wikispaces_com_message_list_home,No,Yes,No,Yes,Yes,Unlimited,Betweenall
WikiCSharp_NET,N_A,No,No,N_A,No,No,N_A,No
Instiki,AnyRailscompatiblebackenddatastorecanbeused_,Yes,No,N_A,Yes,N_A,N_A,Yes
TWiki,RcsLitePerllibraryforversioncontrolwithoutexternalRCSbackendAPIforotherstorage,Yes,Yes,InternalauthenticationanythingApachesupportssuchasLDAPNISADKerberos,X3,Yes,X3,X3
TiddlyWiki,Extensibleviaadaptors,Yes,N_A,Optionalextensionsavailable,N_A,N_A,N_A,N_A
GitWiki,Git,Yes,Yes,Pluginsystembackendscanbeadded,X3,No,No,No
Wagn,No,Yes,Yes,N_A,N_A,N_A,N_A,N_A
MoinMoin,No,Yes,Yes,Modularscriptable_OpenIDldap_ADhttpcookiesslclientcertinterwikiotherspossible,Yes,X2,No,Yes
ScrewTurnWiki,MicrosoftSQLServerPlugin,Yes,Yes,ActiveDirectory,Yes,No,No,No
ButorWiki,N_A,Yes,Yes,No,N_A,N_A,N_A,N_A
Jacwiki,N_A,No,No,No,No,No,No,Yes
GeniusWiki,No,Yes,Yes,Yes,N_A,N_A,N_A,DB2HSQLDBSQLServer
Zwiki,ZODBzopeobjectdatabase,Yes,Yes,AnysupportedbyZopeauthenticationplugins,X4,Yes,N_A,Yes
ProntoWiki,SQLExpressorSQL2000orSQL2005,Yes,N_A,NETMembershipplatform,No,No,No,No
ClearWiki,Http__forums_clearwiki_com_pages_how_do_i,N_A,Yes,No,Yes,Yes,Unlimited,Tocurrent
WikiCrowd,No,Yes,Yes,No,No,No,No,No
Giki,No,Yes,Yes,YesPAMLDAP,No,Yes,No,No
PicoWiki,N_A,Yes,No,No,No,No,No,Yes
GeboGebo,Tdbengine,Yes,No,N_A,No,No,No,X2
Anwiki,Extensibletoanydatastoragebyimplementingacustomdriver,Yes,Yes,Extensibletoanyauthenticationbackendbyimplementingacustomdriver,No,No,No,No
Springnote,N_A,Yes,No,Yes,Yes,Unlimited,Betweenall,Yes
WikyBlog,N_A,Yes,Yes,No,Yes,No,Yes,Yes
BoltWire,EasilyCustomizableDatastorage,Yes,Yes,EasilyCustomizableAuthentication,Yes,Yes,Yes,Yes
Wikia,Http__www_wikia_com_,Wikiaonfreenode,Yes,Yes,Yes,Yes,Unlimited,Betweenall
PageWork,N_A,Yes,Yes,Proprietary,No,No,Yes,No
Wetpaint,Http__www_wetpaintcentral_com,N_A,Yes,Yes,Yes,Yes,Unlimited,Betweenall
ZohoWiki,Forums_zohowiki_com,N_A,Yes,No,No,Yes,Unlimited,Betweenall
IkeWiki,JenaRDFStorage,Yes,Yes,N_A,No,No,No,No
Riki,N_A,Yes,Yes,N_A,No,No,No,No
ConnectedText,Firebird,No,No,Noneed,No,No,No,No
TikiWikiCMSGroupware,N_A,Yes,Yes,OpenIDActivedirectoryLDAPShibbolethCASIMAPInterTikiPOP3VpopmailBasicHTTPauthentication,Yes,Yes,X2,No
Netcipia,Http__participation_netcipia_net,N_A,Yes,No,No,Yes,Unlimited,Betweenall
X3FWiki,AnySQL92DBw_ODBCDrivers,Yes,Yes,InternalPOP3ConfFile,Yes,X2,X2,Yes
FlexWiki,SQLServer20002005orExpress,Yes,Yes,WindowsFormsASPNETProviders,Yes,No,Yes,Yes
WikiToolkit,N_A,Yes,No,PluginInterface,No,No,No,No
CentralDesktop,Http__forum_centraldesktop_com,N_A,Yes,Yes,No,Yes,Unlimited,Betweenall
MiniWiki,N_A,No,No,N_A,No,No,No,No
MojoMojo,N_A,Yes,Yes,N_A,N_A,N_A,N_A,N_A
JAMWiki,AnyJDBC3_0orgreatercompliantdatabaseshouldbesupportedinANSISQLmode_SupportforsiteswithoutanexternaldatabaseisprovidedusinganembeddedversionoftheHSQLdatabase_,Yes,Yes,AcegiSecuritySystemusedforauthenticationexperimentalLDAPsupportavailable,No,No,Yes,X2
Pimki,Pimki1_xusesMadeleinebinaryfiles_Pimki2usesSQLdatabasedSQLiteprimarily,No,N_A,N_A,X2,No,No,X2
Friki,N_A,No,No,N_A,X4,No,X2,No
Daisy,N_A,Yes,Yes,Ntlmldap,N_A,N_A,N_A,N_A
CorendalWiki,N_A,Yes,Yes,ActiveDirectoryorLocalAccounts,No,No,No,No
Wikidot,N_A,N_A,Yes,N_A,N_A,N_A,N_A,N_A
Confluence,No,Yes,Yes,Yes,No,No,No,PostgreSQLMySQLOracleDB2MicrosoftSQLServerSybaseASE
