Identifior,TextFiles,MySQL,PostgreSQL,Oracle,SQLite,BerkeleyDB,RCS,Other
Groupswiki,N_A,N_A,Yes,N_A,Yes,Yes,Unlimited,Betweenall
Sputnik,Git,Yes,Yes,Yes,No,No,No,No
Socialtext,Http__www_socialtext_net_stoss,Socialtext,Yes,X2,Yes,Yes,Unlimited,Betweenall
TracWiki,No,Yes,Yes,FileDatabaseLDAPallwebserverdependant,Yes,No,Yes,X3
OpenWikiNG,SQLServerAccessFireBird,Yes,No,Windows,Yes,No,X2,Yes
Hatta,PlaintextfilesinMercurialrepositorywithSQLiteindex,Yes,No,No,No,Yes,No,No
MidgardWiki,N_A,Yes,Yes,PAMLDAPNTLMMidgarddatabase,No,Yes,No,No
SubWiki,No,No,No,N_A,No,N_A,Yes,No
UseMod,No,Yes,No,N_A,Yes,N_A,X4,X4
Nexdo,N_A,N_A,Yes,No,No,Yes,Unlimited,Betweenall
Intodit,N_A,Yes,Yes,Yes,Yes,Unlimited,Tocurrent,Yes
MoniWiki,CanuseCVS_Gitbackendexperimental,Yes,Yes,Securitypluginsincev1_1_2ACLsecuritymoduleadded,X2,No,X2,X2
PBwiki,Http__getsatisfaction_com_pbworks,N_A,Yes,Yes,Yes,Yes,Unlimited,Betweenall
XoWiki,N_A,Yes,Yes,PAMLDAPActiveDirectoryLDAP,X4,N_A,N_A,N_A
JaWiki,ThefilesareXMLbased,Yes,Yes,N_A,No,No,No,No
PukiWiki,ZipcompressedtextfilesforbackupwithzipPHPextension,Yes,Yes,LDIFstringscompatiblewithOpenLDAP,No,No,Yes,No
Wiki,No,No,Yes,No,No,Yes,Unlimited,No
WikiSpot,Http__wikispot_org_,Http__wikispot_org_Development,Yes,No,Yes,Yes,Unlimited,Betweenall
Bitweaver,Firebird,Yes,Yes,LDAPCusomizationAPIforProprietarySystems,N_A,N_A,N_A,Yes
Gazest,N_A,No,No,N_A,Yes,N_A,Yes,No
Gitit,N_A,Yes,No,N_A,No,Yes,No,No
SamePage,No,Yes,No,Yes,No,No,No,N_A
EditMe,Http__wiki_editme_com,N_A,Yes,Yes,Yes,Yes,Unlimited,Betweenall
ThoughtFarmer,MicrosoftSQLServer20052008,Yes,Yes,ActiveDirectoryorCustomModules,X4,N_A,N_A,N_A
WikkaWiki,No,Yes,Yes,ActiveDirectorypatch,Yes,No,Yes,Yes
WikionaStick,SelfmodifyingXHTMLfilecanexportintoXHTMLandWSIF,Yes,No,SupportsperpageAESencryption,No,No,No,No
WxWikiServer,N_A,Yes,Yes,Unknown,Yes,No,No,No
MindTouch,No,Yes,No,No,No,No,No,N_A
DokuWiki,No,Yes,Yes,TextfileLDAPMySQLPostgreSQLActiveDirectory,X3,X2,X2,X2
BusinessWiki,No,Yes,No,No,No,No,No,N_A
ProWiki,N_A,Yes,Yes,N_A,Yes,No,Yes,Yes
UniWakka,No,Yes,Yes,N_A,No,No,No,No
WikiNi,N_A,Yes,Yes,N_A,N_A,N_A,No,No
Wiclear,N_A,Yes,Yes,N_A,Yes,Yes,Yes,Yes
MediaWiki,No,Yes,No,Yes,Yes,X3,X2,Yes
KeheiWiki,ArchivingplugindesignedforunionFS,Yes,Yes,Apache,Yes,No,No,X3
PodWiki,PerlStorablev0_7forusersattributesandstuff,Yes,Yes,Builtin,No,Yes,No,No
XWiki,JDBCDatabasesandingeneralanydatabasesupportedbyHibernateanycustomimplementationasthestorageispluggable,Yes,Yes,XWikiLDAPeXoPlatformcustomOpenAPI,No,No,No,No
Yawiki,N_A,Yes,Yes,N_A,Yes,No,No,Yes
WackoWiki,DBabstractionwithPDO,Yes,Yes,LDAPpatch,No,X2,No,Yes
MetadotWiki,MetadotSupportForumBlog,No,Yes,No,No,Yes,Unlimited,Betweenall
LionWiki,N_A,Yes,No,N_A,X3,No,No,X3
Oddmuse,No,Yes,No,Noneuseyourwebserverinstead,Yes,No,No,X2
ErfurtWiki,No,Yes,Yes,UNIXLDAPMySQLPHPother,X3,X3,X3,X3
Telepark_wiki,N_A,Yes,Yes,TextfileDB,N_A,N_A,N_A,N_A
Pier,XMLMagmaSmalltalkimageReferenceStreamSmartRefernceStreamImageSegment,Yes,Yes,N_A,N_A,N_A,N_A,N_A
PAUX,N_A,Yes,N_A,N_A,Yes,Yes,Yes,Yes
TrikiWiki,DataStorageisviaPluginwriteyourown,Yes,Yes,UntriedpluginsforNTdomains_Unixpwauth,No,No,No,No
SharePointWikiPlus,MSSQLServer,Yes,Yes,ActiveDirectory__NETAuthenticationprovider,Yes,No,No,No
Swirrl,Http__forum_swirrl_com,N_A,Yes,No,No,Yes,Unlimited,No
JOTWiki,N_A,Yes,Yes,BuiltinDB,No,X2,Yes,N_A
WiGit,Gitrepositories,No,No,N_A,No,No,No,No
Cospire,N_A,N_A,Yes,Yes,No,Yes,Unlimited,No
WikiDoc,YesobjectdatabaseOmniBase,Yes,Yes,No,X2,Yes,No,No
KWikiKWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PortiliTeamWiki,N_A,Yes,Yes,Intuitiveuser_groupmanagement,No,No,No,No
WikiASP,MSAccessDB,Yes,N_A,N_A,No,N_A,N_A,N_A
Clearspace,SQLServerDB2,Yes,Yes,LDAPActiveDirectory,No,No,No,Yes
PmWiki,Canprovidecustomdatabackends,Yes,Yes,HtpasswdLDAPActiveDirectoryMySQLcustomavailable,X2,X3,Yes,X2
BrainKeeper,SupportSystemisEmbeddedwithintheapplication_,N_A,Yes,Yes,Yes,Yes,Unlimited,Betweenall
Ikiwiki,N_A,Yes,Yes,BuiltinHTTPauthOpenIDextensibleviaplugins,Yes,Yes,No,Yes
BLADEWiki,N_A,No,No,No,No,No,No,No
Wicked,No,Yes,Yes,X25differentbackends,No,No,No,No
CanvasWiki,AccessSQLServer,No,No,N_A,N_A,N_A,N_A,N_A
TractionTeamPage,Journalingsystemrecordsalladditions_changestothedata_FilesarestoredinWebDAVcontrolledfolders_,Yes,Yes,InternalDirectoryLDAPADincludingoptionalNTLM_NamepasswordemailACLgroupscanbedefinedbyLDAPorADqueries_Hybridauthenticationissupportede_g_internaldirectoryLDAP,Yes,Yes,No,Yes
Incentive,No,No,No,No,No,No,No,MicrosoftSQLServer2005ExpressEditionorlater
WalaWiki,Diffs,No,No,NoneWaladoesnotauthenticateusers_,No,No,Yes,No
WikiSH,N_A,No,No,Htaccess,No,Yes,X2,No
PhpWiki,GdbmcvsMSSQL___ADODBPearDB,Yes,Yes,Dbsessionpopimapldapfilewebserver,No,No,Yes,Yes
Sycamore,No,Yes,Yes,SecureloginSSLsupported,Yes,X2,No,No
MicKI,PostedithooksallowforDBRCS___,No,No,N_A,No,No,No,No
