Identifier,License,Language,Storage,LicenseCostFee,RSS,Unicode
Confluence,Commercial,Java,Database,US10,Yes,Yes
PBwiki,Nolimit,No,No,Yes,Yes,No
MoinMoin,GPL,Python,Files,No,Yes,Yes
DokuWiki,GPL2,PHP,Files,No,Yes,Yes
PmWiki,GPL2,PHP,Files,No,Yes,Yes
DrupalWiki,GPL2,PHP,Database,DifferentLicences,Yes,Yes
TWiki,GPL,Perl,FileRCS,Community,Yes,Yes
MediaWiki,GPL,PHP,Database,No,Yes,Yes
