Developer;Paging_touch_screen;Paging_volume_key;Backward_forward;Contents_table;Bookmarks;Resume;Go_to;Search_full_text;Autoscroll_by_pixel;Autoscroll_by_line;Autoscroll_by_page;Scroll_speed_control;Rolling_blind_mode
Aldiko;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No
FBReader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No
Moon_reader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes
Socio_eReader;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No
