Developer;Theme;Day_night_mode;Brightness_control;Adjust_to_display_size;Indent_paragraph;Trim_extra_blank_spaces;Enable_disable_CSS;Customize_text_alignment;Customize_font_scale;Customize_line_space;Customize_color;Customize_transparent;Fading_edge;Simulate_real_page_flip
Aldiko;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No
FBReader;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Moon_reader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Socio_eReader;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;No;Yes
