Developer;Highlight;Annotate;Metadata_edit;Dictionary_online;Dictionary_offline;Wikipedia_lookup;Translate;Share;Gesture_command;Support_TTS;Support_DRM
Aldiko;No;No;Yes;Yes;No;Yes;No;Yes;No;No;Yes
FBReader;No;No;Yes;No;Yes;No;No;No;No;Yes;No
Moon_reader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
Socio_eReader;Yes;Yes;No;No;No;Yes;No;No;No;No;No
