Developer;Local_books;Book_file_search;Epub_downloading;Browser_downloading;OPDS_catalog;Books_tag;Books_sort;Books_manage_metadata
Aldiko;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes
FBReader;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes
Moon_reader;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Socio_eReader;Yes;Yes;Yes;No;No;No;Yes;No
