System;Test planning integration;Customizable workflow;Unicode support;Custom Fields;SLA;Multiple Projects;Full-text search;Indexed full-text search;License;Back end;Indexed file search;Plugin API
Assembla Tickets;Yes;Yes;Yes;Yes;No;Yes;No;;Proprietary, hosted;MySQL;No;Yes
BugTracker.NET;No;Yes;Yes;Yes;No;Yes;;;GPL;SQL Server, SQL Server Express;;No
Bugzilla;Yes;Yes;Yes;Yes;No;Yes;Yes;When using MySQL MyISAM or Oracle Database but not PostgreSQL;MPL;MySQL, Oracle, PostgreSQL;;Yes
codeBeamer;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Proprietary, free version;MySQL, Oracle, Apache Derby or Postgres;Yes;Yes
Debbugs;No;No;Yes;No;No;;;;GPL;Flatfile, Berkeley DB indexes;;No
Flyspray;Yes;Yes;Yes;No;No;Yes;;;LGPL;Mysql, PostgreSQL;;Yes
FogBugz;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Proprietary;SQL Server, MySQL;No;Yes
Fossil;No;No;No;Yes;No;Yes;No;No;BSD;SQLite;;No
Gemini;Yes;Yes;Yes;Yes;No;Yes;;;Proprietary, free for non profit / open source;Microsoft SQL Server;;Yes
GNATS;No;No;No;No;No;;;;GPL;MySQL;;No
Google Code Hosting;No;Yes;Yes;Yes;No;Yes;;;Proprietary, hosted;BigTable;;No
HP Quality Center;Yes;Yes;No;Yes;No;Yes;No;No;Proprietary;SQL Server, Oracle;No;Yes
IBM Rational ClearQuest;Yes;Yes;Yes;Yes;No;Yes;Optional;Optional uses Solr and Lucene;Proprietary;IBM DB2, Oracle, SQL Server, Access, Sybase ASA;;No
ikiwiki;No;No;Yes;Yes;No;;;;mostly GPLv2, mixed;git, darcs, bzr, svn, monotone, mercurial, tla;;No
IssueNet;No;Yes;Yes;Yes;No;;;;Proprietary;SQL Server;;Yes
IssueTrak;No;Yes;No;Yes;Yes;Yes;;;Proprietary, Hosted, On-Premises;Microsoft SQL Server;;Yes
iSupport;No;Yes;Yes;Yes;No;;;;Proprietary, Commercial, Source Code License available;Microsoft SQL Server;;No
JIRA;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Uses Lucene;Proprietary, Free for non-commercial use;MySQL, PostgreSQL, Oracle, SQL Server;Optional;Yes
Liberum Help Desk;No;No;No;No;No;;;;GPL;SQL Server, Access;;No
LibreSource;No;No;Yes;No;No;;;;GPLv2;PostgreSQL;;No
Kayako SupportSuite;No;No;Yes;Yes;Yes;;;;Proprietary;MySQL, SQL Server;;Yes
MantisBT;No;Yes;Yes;Yes;No;Yes;Yes;No;GPLv2;MySQL, PostgreSQL, SQL Server;No;Yes
Microsoft Dynamics CRM;No;Yes;Yes;Yes;No;;;;Proprietary, Commercial;Microsoft SQL Server;;Yes
Mojo Helpdesk;Yes;Yes;Yes;Yes;Yes;;;;online, hosted only;;;No
OnTime;No;Yes;Yes;Yes;Yes;Yes;;;Proprietary, Saas;SQL Server;;Yes
org-mode;No;Yes;Yes;Yes;No;;;;GPLv3;text file(s);;No
OTRS;No;Yes;Yes;Yes;Yes;;;;AGPL;MySQL, PostgreSQL, Oracle, SQL Server;;Yes
Planbox;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Proprietary, free version;MySQL;No;Yes
Pivotal Tracker;Yes;No;Yes;No;No;Yes;;;Proprietary, free version;Ruby on Rails, MySQL, Memcached;;Yes
Plain Ticket;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Proprietary, online, hosted;MySQL;No;No
Projistics;No;Yes;Yes;No;No;;;;Proprietary;SQL Server;;No
Redmine;Yes;Yes;Yes;Yes;No;Yes;Yes;No;GPLv2;MySQL, PostgreSQL, SQLite;Optional;Yes
Remedy Action Request System;No;Yes;Yes;Yes;Yes;;Optional;Optional;Proprietary;Oracle, SQL Server, DB2, Informix, Sybase ASA;Optional;Yes
Request Tracker;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;GPL;MySQL, PostgreSQL, Oracle, SQLite;;Yes
Roundup;No;Yes;Yes;Yes;No;Yes;Yes;with issues;MIT license;SQLite, MySQL, PostgreSQL, Berkeley DB;Yes;No
StarTeam;Yes;No;No;No;No;;;;Proprietary;SQL Server recommended, Oracle, DB2 supported;;No
Supportworks;No;Yes;No;Yes;Yes;;;;Proprietary;SQL Server, MySQL, Oracle, Sybase;;Yes
Team Foundation Server;Yes;Yes;Yes;Yes;No;Yes;;;Proprietary, Commercial;MS SQL Server 2005 & 2008;;Yes
Teamwork;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Uses Lucene;Proprietary, some parts LGPL;all relational (uses Hibernate);;No
Trac;Yes;Yes;Yes;Yes;No;No;Yes;No;New BSD;SQLite, PostgreSQL, MySQL;;Yes
Unawave;No;No;;No;No;;;;Proprietary;;;No
Web Help Desk;No;Yes;Yes;Yes;No;;Partial;No;Proprietary;OpenBase, FrontBase, MySQL, SQL Server, PostgreSQL, Oracle;;No
Wrike;No;Yes;Yes;No;No;;;;Proprietary, hosted;PostgreSQL;;No
YouTrack;Yes;Yes;Yes;Yes;No;Yes;Yes;Uses Lucene;Proprietary, stand-alone and hosted, free version, free for open source projects;JetBrains DB;;No
Zentrack;No;Yes;Yes;Yes;No;;;;GPL;MySQL;;Yes
Zoho BugTracker;No;Yes;Yes;Yes;No;Yes;Partial;;Proprietary;MySQL;;No
