Name;Checkout;Authorize.Net AIM;Authorize.Net SIM;Barclaycard CPI;Barclaycard MPI;HSBC API;HSBC CPI;Nochex;PayPal Standard
IzzoNet;No;Yes;Yes;No;No;No;No;No;Yes
AbanteCart;;No;Yes;;Yes;Yes;;;No
Ashop Commerce;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
24SevenCart;No;Yes;Yes;No;No;No;No;No;Yes
Avactis;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes
AdVantShop.NET;Yes;No;Yes;No;No;No;No;No;Yes
AspDotNetStorefront;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
Batavi;No;No;No;No;No;No;No;No;No
BigCommerce;Yes;Yes;No;No;No;Yes;No;Yes;Yes
Bitcart;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes
CartXpress;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
CARTZ Link;Yes;Yes;Yes;No;No;No;No;Yes;Yes
CoreCommerce;Yes;Yes;No;No;No;No;No;No;Yes
CRUCIAL SOLUTION;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
CS-Cart;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes
Cube Cart;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes
DantoCart;;No;Yes;No;;Yes;Yes;;No
eCommerce Framework G5 (ECF);Yes;;No;Yes;No;Yes;No;Yes;No
Ecommerce Shopping Cart Software;Yes;Yes;Yes;No;No;No;No;Yes;Yes
Ecommerce Templates;Yes;Yes;Yes;No;No;No;No;Yes;Yes
Flying Cart;;Yes;Yes;Yes;Yes;No;No;;Yes
Fortune3;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes
Go Ecommerce;No;No;No;No;No;No;No;No;Yes
Interspire Shopping Cart;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes
iScripts Multicart;Yes;Yes;Yes;No;No;No;No;No;Yes
JadaSite;No;Yes;No;No;No;No;No;No;No
JShop Server;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
k-eCommerce;No;Yes;Yes;No;No;No;No;No;Yes
KonaKart;No;Yes;Yes;No;No;No;No;No;Yes
LiteCommerce;No;No;No;No;No;No;No;No;Yes
LiveCart;Yes;Yes;Yes;No;No;No;Yes;No;Yes
Magento;Yes;Yes;Addon;Yes;Yes;Yes;Yes;No;Yes
ePages;No;Yes;No;No;No;Yes;Yes;No;Yes
nopCommerce;Yes;Yes;No;No;No;No;No;No;Yes
OpenCart;Yes;Yes;Yes;No;No;Template:Coming;Template:Coming;Yes;Yes
osCommerce;Yes;Yes;Yes;No;No;No;No;No;Yes
OXID eShop;No;No;No;No;No;No;No;No;Yes
PDshop;;No;Yes;Yes;;Yes;;;No
PhPepperShop;No;No;No;No;No;No;No;No;Yes
Pinnacle Cart;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
PrestaShop;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
ProductCart;Yes;Yes;Yes;No;No;Yes;No;No;Yes
SearchFit;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
SEOshop;Yes;Yes;No;No;No;No;No;No;Yes
ShopCMS;Yes;No;No;No;No;No;No;No;Yes
Shopping Cart Gold;Yes;Yes;Yes;No;No;No;No;Yes;Yes
ShoppingCart.ORG;No;No;No;No;No;No;No;No;Yes
Shopify;No;Yes;Yes;No;Yes;No;No;Yes;Yes
Shopizer;No;Yes;No;No;No;No;No;No;Yes
ShopSite;No;Yes;Yes;No;No;No;No;No;Yes
SunShop;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
Superia Commerce;No;No;No;Yes;No;No;No;No;Yes
TomatoCart;No;No;No;No;No;No;No;No;Yes
TOUGHCartz;Yes;Yes;Yes;No;No;No;No;Yes;Yes
Usercart 8 Infinity;Yes;Yes;Yes;No;No;No;No;Yes;Yes
VirtueMart for Joomla!;Yes;Yes;Yes;No;No;No;No;Yes;Yes
Volusion;No;Yes;No;No;No;No;No;No;Yes
VP-ASP Shopping Cart;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes
WebAsyst Shop-Script;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes
X-Cart;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
xrow E-Commerce;;No;Yes;;No;Yes;;;No
Zen Cart;Yes;Yes;Yes;No;No;No;No;Yes;Yes
Zeus Cart;Yes;Yes;No;No;No;No;No;No;Yes
