Name;Product Import_Export;Statistics;Stock Control;WYSIWYG Editor
IzzoNet;Yes;Yes;Yes;Yes
AbanteCart;Yes;Yes;Yes;Yes
Ashop Commerce;Yes;Yes;Yes;Yes
24SevenCart;Yes;Yes;Yes;Yes
Avactis;Yes;Yes;Yes;Yes
AdVantShop.NET;Yes;Yes;Yes;Yes
AspDotNetStorefront;Yes;Yes;Yes;Yes
Batavi;Yes;Yes;Yes;Yes
BigCommerce;Yes;Yes;Yes;Yes
Bitcart;Yes;Yes;Yes;Yes
CartXpress;Yes;Yes;Yes;Yes
CARTZ Link;Yes;Yes;Yes;Yes
CoreCommerce;Yes;Yes;Yes;Yes
CRUCIAL SOLUTION;Yes;Yes;Yes;Yes
CS-Cart;Yes;Yes;Yes;Yes
Cube Cart;Yes;Yes;Yes;Yes
DantoCart;No;;Yes;Yes
eCommerce Framework G5 (ECF);No;Yes;;No
Ecommerce Shopping Cart Software;Yes;Yes;Yes;Yes
Ecommerce Templates;Yes;Yes;Yes;Yes
Flying Cart;Yes;Yes;Yes;Yes
Fortune3;Yes;Yes;Yes;Yes
Go Ecommerce;Yes;Yes;No;Yes
Interspire Shopping Cart;Yes;Yes;Yes;Yes
iScripts Multicart;No;Yes;Yes;No
JadaSite;Yes;Yes;Yes;Yes
JShop Server;Yes;Yes;Yes;Yes
k-eCommerce;Yes;Yes;Yes;Yes
KonaKart;Yes;Yes;Yes;Yes
LiteCommerce;Yes;Yes;Yes;Yes
LiveCart;Yes;Yes;Yes;Yes
Magento;Yes;Yes;Yes;Yes
ePages;Yes;Yes;Yes;Yes
nopCommerce;Yes;Yes;Yes;Yes
OpenCart;3rd party Module (price varies);Yes;Yes;Yes
osCommerce;No;Yes;Yes;No
OXID eShop;Yes;Yes;Yes;Yes
PDshop;No;;;Yes
PhPepperShop;Yes;No;Yes;Yes
Pinnacle Cart;Yes;Yes;Yes;Yes
PrestaShop;Yes;Yes;Yes;Yes
ProductCart;Yes;Yes;Yes;Yes
SearchFit;Yes;Yes;Yes;No
SEOshop;Yes;Yes;Yes;Yes
ShopCMS;No;;;Yes
Shopping Cart Gold;Yes;Yes;Yes;Yes
ShoppingCart.ORG;Yes;Yes;Yes;Yes
Shopify;Yes;Yes;Yes;No
Shopizer;;Yes;Yes;Yes
ShopSite;Yes;Yes;Yes;Yes
SunShop;Yes;Yes;Yes;Yes
Superia Commerce;Yes;Yes;Yes;Yes
TomatoCart;Yes;Yes;Yes;Yes
TOUGHCartz;Yes;Yes;Yes;Yes
Usercart 8 Infinity;Yes;Yes;Yes;Yes
VirtueMart for Joomla!;Yes;Yes;Yes;Yes
Volusion;Yes;Yes;Yes;Yes
VP-ASP Shopping Cart;Yes;Yes;Yes;Yes
WebAsyst Shop-Script;Yes;Yes;Yes;Yes
X-Cart;Yes;Yes;Yes;Yes
xrow E-Commerce;Yes;Yes;No;Yes
Zen Cart;free Addon;Yes;Yes;free Addon
Zeus Cart;Yes;Yes;Yes;Yes
