Name;Coupons;Gift Certificates;Membership Discounts;Membership Only Categories;Membership Only Products;Reward Points;Special Offers
IzzoNet;Yes;Yes;Yes;No;No;No;Yes
AbanteCart;Yes;Yes;Yes;Yes;Yes;No;Yes
Ashop Commerce;Yes;Yes;Yes;Yes;Yes;No;Yes
24SevenCart;Yes;Yes;Yes;Yes;Yes;No;Yes
Avactis;Yes;Yes;Yes;Yes;Yes;No;Yes
AdVantShop.NET;No;No;No;No;No;No;Yes
AspDotNetStorefront;Yes;Yes;Yes;No;Yes;3rd party Module (price varies);3rd party Module (price varies)
Batavi;No;No;Yes;No;No;No;Yes
BigCommerce;Yes;Yes;Yes;Yes;Yes;No;No
Bitcart;Yes;Yes;Yes;No;No;Yes;Yes
CartXpress;Yes;Yes;Yes;Yes;Yes;Yes;Yes
CARTZ Link;Yes;Yes;Yes;Yes;Yes;Yes;Yes
CoreCommerce;Yes;Yes;Yes;Yes;Yes;Yes;Yes
CRUCIAL SOLUTION;No;No;Yes;Yes;Yes;No;Yes
CS-Cart;Yes;Yes;Yes;Yes;No;Yes;Yes
Cube Cart;Yes;Yes;No;No;No;No;No
DantoCart;;;Yes;;No;;No
eCommerce Framework G5 (ECF);;Yes;;Yes;Yes;No;Yes
Ecommerce Shopping Cart Software;No;Yes;No;No;No;No;Yes
Ecommerce Templates;Yes;Yes;Yes;Yes;Yes;No;Yes
Flying Cart;Yes;Yes;No;No;No;No;No
Fortune3;Yes;Yes;Yes;Yes;Yes;No;Yes
Go Ecommerce;No;No;No;No;No;No;No
Interspire Shopping Cart;Yes;Yes;Yes;Yes;Yes;No;Yes
iScripts Multicart;Yes;Yes;No;No;No;No;No
JadaSite;Yes;No;No;No;No;No;No
JShop Server;Yes;Yes;Yes;Yes;Yes;No;Yes
k-eCommerce;Yes;Yes;Yes;Yes;Yes;No;Yes
KonaKart;Yes;Yes;Yes;Yes;Yes;Yes;Yes
LiteCommerce;Yes;Yes;Yes;Yes;Yes;Yes;Yes
LiveCart;Yes;No;Yes;Yes;Yes;Module (paid);Yes
Magento;Yes;Yes;Yes;Yes;Yes;No;Yes
ePages;Yes;Yes;Yes;Yes;Yes;No;Yes
nopCommerce;Yes;Yes;Yes;Yes;No;Yes;Yes
OpenCart;Yes;Yes;Yes;Yes;Yes;Yes;Yes
osCommerce;No;No;No;No;No;No;No
OXID eShop;Yes;Yes;Yes;Yes;Yes;No;Yes
PDshop;;No;;Yes;No;;No
PhPepperShop;Yes;No;No;No;No;No;No
Pinnacle Cart;Yes;Yes;Yes;No;No;No;Yes
PrestaShop;Yes;Yes;Yes;Yes;Yes;Yes;Yes
ProductCart;Yes;Yes;Yes;Yes;Yes;Yes;Yes
SearchFit;Yes;Yes;Yes;No;Yes;Yes;Yes
SEOshop;Yes;Yes;Yes;Yes;Yes;Yes;Yes
ShopCMS;No;No;Yes;No;No;No;Yes
Shopping Cart Gold;No;No;No;No;No;No;Yes
ShoppingCart.ORG;Yes;Yes;No;Yes;Yes;No;Yes
Shopify;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Shopizer;No;No;No;No;No;No;Yes
ShopSite;Yes;Yes;Yes;No;No;Yes;Yes
SunShop;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Superia Commerce;Yes;No;No;No;No;No;Yes
TomatoCart;Yes;Yes;Yes;Yes;Yes;Yes;Yes
TOUGHCartz;Yes;Yes;No;No;No;No;Yes
Usercart 8 Infinity;No;No;No;No;No;No;Yes
VirtueMart for Joomla!;Yes;;Yes;Yes;;;Yes
Volusion;Yes;Yes;Yes;Yes;Yes;Yes;Yes
VP-ASP Shopping Cart;Yes;Yes;Yes;Yes;Yes;Yes;Yes
WebAsyst Shop-Script;Yes;No;Yes;No;No;No;Yes
X-Cart;Yes;Yes;Yes;Yes;Yes;Yes;Yes
xrow E-Commerce;Yes;No;Yes;Yes;Yes;No;Yes
Zen Cart;Yes;Yes;Yes;No;No;yes;Yes
Zeus Cart;Yes;No;No;No;No;No;No
