Name;OS;Vendor;Online cloud storage;Prior file versions;Detect rename;Detect move;Scheduling;Full duplex transfer;Remote desktop
Microsoft ActiveSync;Windows;Microsoft;No;;;;;;No
Windows Mobile Device Center;Windows;Microsoft;No;;;;;;No
Gbridge;Windows;Gbridge LLC;No;;No;No;Yes;;via VNC, RDP
Microsoft Sync Framework;Windows;Microsoft;;;Yes;Yes;;;No
Microsoft SyncToy;Windows;Microsoft;No;No;Yes;Yes;via OS;No;No
Windows Live Mesh;Windows, Windows Mobile, OSX;Microsoft;Yes;No;;;No;Yes;Yes
Windows Live Sync;Windows, OSX;Microsoft;browsing only;No;Yes;Yes;No;;No
Dimio DSyncronize;Windows;Dimio;No;No;;;Yes;;No
Yintersync;Windows;Yinter;Yes;Yes;;;Yes;;No
