Name;legal only;is a tracker;directory;sortable;one click download;comments;tracker amalgamation;public;private;RSS;specialization
AnimeSuki;Unlicensed only;No;Yes;Only new torrents;No;No;No;Yes;No;Yes;unlicensed anime
Anirena;No;Yes;Yes;Yes;Yes;Yes; ;Yes;No;Yes;anime
BigTorrent;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;anime
BiteNova;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
Bitmetv;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;TV
BitTorrent;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No
BTMon;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
BTJunkie;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
BushTorrents;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No
DC Hubs;No;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No
Dinastar-elec;Yes;Yes;No;No;Yes;No;No;Yes;No;Yes;Linux
Fenopy;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No
FlixFlux;No;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Film
fulldls;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No
Go-Torrent;No;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No
isoHunt;No;Yes;No;Not new torrents;No;Yes;Yes;Yes;No;Yes;No
MajorTorrent;No;No;No;Yes;No;No;No;Yes;No;No;No
MegaNova;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
Mininova;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
MyBittorrent;No;No;Yes;Not working;Yes;Yes;Yes;Yes;No;No;No
NewTorrents;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
NorBits;No;Yes;Yes;Yes;Yes;Yes; ;No;Yes;Yes;Norwegian stuff
ScrapeTorrent;No;No;No;Yes;No;No;No;Yes;No;No;No
Snarf-it;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
The Pirate Bay;No;Yes;Yes;Not the top 100;Yes;Yes;No;Yes;No;Yes;No
TorrentBox;No;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No
Torrent-Finder;No;No;No;No;No;No;No;No;No;No;other sites
TorrentLeech;No;Yes;Yes;Yes;Yes;Yes; ;No;Yes;Yes;No
TorrentPortal;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
TorrentReactor;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
TorrentSpy;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
TorrentValley;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No
Torrentz;No;No;No;Yes;No;Yes;No;Yes;No;No;No
RARBG;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
