Suppliers,NWK layer,Beaconing,GTS,Security,Mesh/Cluster Configuration,Power Saving,Message Fragmentation
A,No,Opt,Opt,No,No,No,No
B,Opt,No,No,Opt,Man,No,No
C,Opt,Opt,Opt,Opt,No,Opt,Man
